Census Tract , CES 3.0 Score,CES 3.0 Percentile," CES 3.0 
Percentile Range",Total Population,"California 
County",Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other (%)
6037242700,67.52,98.88,95-100% (highest scores),5273,Los Angeles,72.3,0.4,25.7,0.1,0.4,1.1
6065031300,67.44,98.86,95-100% (highest scores),2651,Riverside ,92.7,2.8,1.9,0.9,1.2,0.4
6071007000,67.44,98.85,95-100% (highest scores),7898,San Bernardino,87,6.7,3.9,0.2,1.1,1.1
6037533001,67.42,98.84,95-100% (highest scores),4527,Los Angeles,95,0.8,3.5,0.2,0.3,0.2
6037121222,67.39,98.83,95-100% (highest scores),5293,Los Angeles,85,6.5,3.1,0.1,4.4,0.9
6037532800,67.31,98.81,95-100% (highest scores),4409,Los Angeles,91.5,0.4,7.6,0,0.3,0.2
6037239601,67.3,98.8,95-100% (highest scores),3755,Los Angeles,82.2,0.3,16.4,0.2,0.2,0.6
6037575401,67.2,98.79,95-100% (highest scores),5155,Los Angeles,76.9,5.7,11.5,0.2,4.5,1.3
6077002401,67.08,98.78,95-100% (highest scores),5001,San Joaquin,63.5,2.8,6.8,0.1,25.1,1.6
6037534201,67.05,98.76,95-100% (highest scores),4439,Los Angeles,95.4,2.7,0.8,0.3,0.6,0.2
6037122410,66.93,98.75,95-100% (highest scores),3794,Los Angeles,83.2,7.6,4.6,0,3.3,1.2
6037239702,66.87,98.74,95-100% (highest scores),3927,Los Angeles,68.6,0.9,29,0.1,0,1.4
6037572800,66.79,98.73,95-100% (highest scores),839,Los Angeles,19,25.3,38.6,1.5,9.4,6.2
6073003601,66.76,98.71,95-100% (highest scores),3250,San Diego,89.6,2.9,5.5,0,1.5,0.5
6037228100,66.68,98.7,95-100% (highest scores),4916,Los Angeles,91.3,0.4,7.3,0.1,0.1,0.8
6037292000,66.67,98.69,95-100% (highest scores),6543,Los Angeles,59.7,11,13.2,0.1,14.2,1.8
6037434001,66.54,98.68,95-100% (highest scores),4395,Los Angeles,87.3,2.9,0.3,0.1,9.1,0.3
6037122122,66.51,98.66,95-100% (highest scores),2439,Los Angeles,80.3,12.6,4.4,0.3,1.7,0.6
6099001500,66.48,98.65,95-100% (highest scores),6551,Stanislaus ,54.9,31,4.6,0.4,6.4,2.7
6037242600,66.48,98.64,95-100% (highest scores),4409,Los Angeles,59.9,0.9,38.2,0.1,0.2,0.7
6077000900,66.46,98.63,95-100% (highest scores),5859,San Joaquin,49.6,30.6,6.7,0.9,8.5,3.6
6037228900,66.42,98.61,95-100% (highest scores),3216,Los Angeles,86.1,0.5,9.8,0.2,2.9,0.5
6037433302,66.41,98.6,95-100% (highest scores),1595,Los Angeles,82.6,3.3,0.3,0.3,13.1,0.4
6099001400,66.39,98.59,95-100% (highest scores),6430,Stanislaus ,32.2,52.3,3.9,0.8,6.6,4.2
6099002402,66.28,98.57,95-100% (highest scores),5559,Stanislaus ,83.1,12.9,0.8,0.2,1.4,1.7
6071005600,66.14,98.56,95-100% (highest scores),7101,San Bernardino,73.8,8.5,13.4,0.1,2.9,1.2
6019003001,66.11,98.55,95-100% (highest scores),3175,Fresno ,48.8,12.2,5.9,1.2,30,1.9
6037402304,66.06,98.54,95-100% (highest scores),3848,Los Angeles,90,3.8,2.7,0.3,2.8,0.5
6037122420,66.04,98.52,95-100% (highest scores),5050,Los Angeles,79.9,9.3,3.1,0.1,6.4,1.2
6037536103,66.03,98.51,95-100% (highest scores),5516,Los Angeles,94.6,3.7,0.5,0.3,0.6,0.2
6037199700,66.03,98.5,95-100% (highest scores),3411,Los Angeles,69.4,11,0.8,0.2,18,0.6
6019006802,66.01,98.49,95-100% (highest scores),4019,Fresno ,87.2,10,0.1,0.2,2.2,0.2
6029002100,66,98.47,95-100% (highest scores),3852,Kern ,83.4,4.8,9.7,1,0.3,0.9
6037219902,65.96,98.46,95-100% (highest scores),4113,Los Angeles,72.2,3.5,20.6,0.1,1.7,1.8
6037206300,65.94,98.45,95-100% (highest scores),7540,Los Angeles,24.9,16.7,52.8,1,2.3,2.2
6037123206,65.93,98.44,95-100% (highest scores),2945,Los Angeles,85,8.7,2.4,0.1,3.2,0.6
6077000600,65.82,98.42,95-100% (highest scores),2279,San Joaquin,74.6,6,5.5,0.7,11.5,1.8
6065030104,65.81,98.41,95-100% (highest scores),6922,Riverside ,62.1,18.7,8.7,0.3,8.5,1.7
6071004004,65.79,98.4,95-100% (highest scores),5076,San Bernardino,71,20.6,3.3,0.3,3.5,1.3
6037540901,65.75,98.39,95-100% (highest scores),4994,Los Angeles,64.4,1.8,32.2,0.1,0.4,1.1
6037532603,65.7,98.37,95-100% (highest scores),3319,Los Angeles,98,0.9,0.1,0.1,0.6,0.4
6029002400,65.67,98.36,95-100% (highest scores),7478,Kern ,70.8,18.4,5.3,0.6,3.1,1.8
6065042505,65.65,98.35,95-100% (highest scores),3639,Riverside ,80.1,8.9,6.8,0.2,2.4,1.6
6071002204,65.53,98.34,95-100% (highest scores),6139,San Bernardino,78.5,11.6,4.9,0.2,4.1,0.7
6037239502,65.46,98.32,95-100% (highest scores),3372,Los Angeles,76.3,0.2,22.3,0.2,0.1,0.8
6019003805,65.41,98.31,95-100% (highest scores),6852,Fresno ,56.2,18.9,10.2,1,11,2.7
6037553601,65.37,98.3,95-100% (highest scores),4750,Los Angeles,75,4.6,15.8,0.1,3.2,1.2
6037402804,65.36,98.28,95-100% (highest scores),4085,Los Angeles,79.2,4.5,3.5,0.2,11.6,1.1
6019001800,65.35,98.27,95-100% (highest scores),4615,Fresno ,60.6,32,1.1,0.7,4.3,1.2
6071001813,65.35,98.26,95-100% (highest scores),4576,San Bernardino,91.6,3.3,3,0,1.2,0.9
6037534301,65.29,98.25,95-100% (highest scores),4636,Los Angeles,95,2.7,1,0.1,0.6,0.6
6037206200,65.26,98.23,95-100% (highest scores),3386,Los Angeles,19.5,12.2,25.9,0.4,39.7,2.2
6037432801,65.18,98.22,95-100% (highest scores),2568,Los Angeles,59.3,3.3,0.1,0.4,36.8,0.2
6037601600,65.05,98.21,95-100% (highest scores),4375,Los Angeles,92.5,2.5,2.2,0,2.2,0.5
6037229410,65,98.2,95-100% (highest scores),3343,Los Angeles,83.6,1,14.4,0.1,0.4,0.5
6037601401,64.99,98.18,95-100% (highest scores),4683,Los Angeles,58.9,5.1,32.4,0.3,1.9,1.4
6037239602,64.92,98.17,95-100% (highest scores),3313,Los Angeles,77.1,0.7,20.6,0.4,0.1,1
6037127400,64.88,98.16,95-100% (highest scores),5818,Los Angeles,73.2,15.3,5,0.1,4.8,1.5
6037302302,64.86,98.15,95-100% (highest scores),4895,Los Angeles,34.4,44.6,1.7,0.3,16.9,2.2
6037228800,64.82,98.13,95-100% (highest scores),5575,Los Angeles,88.1,0.6,9.1,0,1.5,0.7
6071005500,64.69,98.12,95-100% (highest scores),8618,San Bernardino,73.6,7.8,14.9,0.3,1.4,2
6037533002,64.65,98.11,95-100% (highest scores),2822,Los Angeles,97.3,1.2,1,0.1,0.1,0.3
6037543100,64.64,98.1,95-100% (highest scores),6759,Los Angeles,49.6,0.7,47.9,0.2,0.6,1
6037575801,64.47,98.08,95-100% (highest scores),2446,Los Angeles,79.3,9.5,6.9,0.5,2.5,1.3
6077001500,64.46,98.07,95-100% (highest scores),8384,San Joaquin,58.8,21.8,5.6,1,10.3,2.6
6037532900,64.43,98.06,95-100% (highest scores),6681,Los Angeles,92.7,0.3,6.5,0.1,0.1,0.3
6029002302,64.38,98.05,95-100% (highest scores),3378,Kern ,94,3,1.8,0.4,0.5,0.4
6037291130,64.33,98.03,95-100% (highest scores),3582,Los Angeles,64,4.8,18.6,0,11.1,1.5
6037553701,64.32,98.02,95-100% (highest scores),4176,Los Angeles,93,3.3,2.5,0.1,0.5,0.6
6037535101,64.3,98.01,95-100% (highest scores),7306,Los Angeles,82.7,0.5,16.2,0.1,0.1,0.5
6019002601,64.22,97.99,95-100% (highest scores),5821,Fresno ,84.8,4.4,2.3,0.4,7,1
6071001309,64.22,97.98,95-100% (highest scores),4793,San Bernardino,78.5,11.2,5.8,0.1,3.1,1.4
6099001800,64.21,97.97,95-100% (highest scores),2196,Stanislaus ,32.7,53.8,5.6,1.5,3,3.4
6037535200,64.19,97.96,95-100% (highest scores),5820,Los Angeles,80.6,0.6,17.9,0.2,0.2,0.5
6037203300,64.17,97.94,95-100% (highest scores),2607,Los Angeles,68.8,8.9,11,0.1,10.4,0.8
6037404703,64.09,97.93,95-100% (highest scores),3178,Los Angeles,88.6,2.7,0.8,0.2,7.3,0.4
6037242200,64.03,97.92,95-100% (highest scores),6554,Los Angeles,71.9,0.7,25.8,0.2,0.3,1
6037535603,64.01,97.91,95-100% (highest scores),3493,Los Angeles,96.1,2.1,1,0,0.7,0.1
6019001700,63.99,97.89,95-100% (highest scores),5701,Fresno ,57.7,26.2,1.8,0.6,12.3,1.5
6037570202,63.99,97.88,95-100% (highest scores),6415,Los Angeles,62.5,8.2,16.8,0.2,10.2,2.1
6037541604,63.96,97.87,95-100% (highest scores),6207,Los Angeles,81.4,0.6,16.7,0.2,0.3,0.7
6037535300,63.92,97.86,95-100% (highest scores),6251,Los Angeles,91.6,1,7,0,0.1,0.3
6037123304,63.9,97.84,95-100% (highest scores),4687,Los Angeles,50.8,39.2,3.2,0.1,4.4,2.2
6037536102,63.9,97.83,95-100% (highest scores),3164,Los Angeles,74.1,17.8,1.8,0.2,5.3,0.8
6037237202,63.82,97.82,95-100% (highest scores),4388,Los Angeles,61.3,0.8,35.8,0.1,0.3,1.8
6065030400,63.8,97.81,95-100% (highest scores),6414,Riverside ,78,7.2,11.5,0.4,1.5,1.4
6037542502,63.76,97.79,95-100% (highest scores),4284,Los Angeles,57.1,0.6,40.4,0.6,0.7,0.6
6037127104,63.75,97.78,95-100% (highest scores),3573,Los Angeles,52.5,32.4,4.6,0.2,8,2.4
6019002800,63.65,97.77,95-100% (highest scores),5205,Fresno ,63.1,8,4.5,0.6,22.4,1.4
6037433901,63.58,97.76,95-100% (highest scores),5593,Los Angeles,76.7,2.3,0.5,0.1,19.8,0.7
6071004003,63.54,97.74,95-100% (highest scores),6178,San Bernardino,83.6,12.4,2,0.3,0.9,0.8
6037302505,63.53,97.73,95-100% (highest scores),3749,Los Angeles,43.5,38.8,1.5,0.1,13.3,2.7
6077002000,63.53,97.72,95-100% (highest scores),3977,San Joaquin,75.9,8.6,11.9,0.3,1.9,1.5
6037188100,63.51,97.7,95-100% (highest scores),4076,Los Angeles,55.8,27.3,2.3,0.1,12.8,1.7
6065040204,63.49,97.69,95-100% (highest scores),3716,Riverside ,84.7,7.4,6.1,0.2,1,0.6
6037240500,63.49,97.68,95-100% (highest scores),5655,Los Angeles,62.4,0.6,35.6,0,0.2,1.1
6071004104,63.49,97.67,95-100% (highest scores),5257,San Bernardino,81.8,10.9,5.1,0.4,0.7,1.1
6037602509,63.43,97.65,95-100% (highest scores),4118,Los Angeles,63.8,4.1,20,0.2,10.3,1.7
6047001005,63.4,97.64,95-100% (highest scores),2406,Merced ,51.9,30.5,8,0.7,6.2,2.8
6099003700,63.36,97.63,95-100% (highest scores),4796,Stanislaus ,51.7,38.8,0.8,0.7,5.5,2.5
6077002402,63.36,97.62,95-100% (highest scores),2219,San Joaquin,69.8,4.5,10,0.2,13.4,2.1
6037239320,63.31,97.6,95-100% (highest scores),3444,Los Angeles,85.2,0.5,13.1,0.1,0.2,0.8
6037542601,63.25,97.59,95-100% (highest scores),3016,Los Angeles,85.1,0.6,13.7,0.1,0,0.4
6037122121,63.23,97.58,95-100% (highest scores),2833,Los Angeles,79.4,10,1.3,0,8.3,1
6037219800,63.22,97.57,95-100% (highest scores),3310,Los Angeles,74.3,1.5,21.5,0.2,1.1,1.4
6037541603,63.2,97.55,95-100% (highest scores),2983,Los Angeles,79.1,1.1,19,0,0.1,0.6
6037402303,63.15,97.54,95-100% (highest scores),3996,Los Angeles,75.5,13.6,6,0.5,3.3,1.2
6065042209,63.05,97.53,95-100% (highest scores),4579,Riverside ,40.4,24.3,12.9,0.5,18.6,3.3
6037433801,63.04,97.52,95-100% (highest scores),6197,Los Angeles,90.5,2.4,0.1,0.1,6.3,0.5
6037601502,63.03,97.5,95-100% (highest scores),3963,Los Angeles,94.4,1.9,1.9,0.1,1.4,0.3
6037121020,62.91,97.49,95-100% (highest scores),3741,Los Angeles,59.6,26.8,1.6,0.1,9.9,2
6037572301,62.87,97.48,95-100% (highest scores),3833,Los Angeles,58.8,4.1,8,0.1,26.8,2.2
6037204700,62.82,97.47,95-100% (highest scores),4972,Los Angeles,97.2,1.5,0.2,0,0.9,0.2
6037535606,62.7,97.45,95-100% (highest scores),1860,Los Angeles,98,1.2,0.3,0.1,0.1,0.3
6037239330,62.67,97.44,95-100% (highest scores),2879,Los Angeles,86.1,0.6,12.9,0.1,0,0.2
6019002400,62.67,97.43,95-100% (highest scores),4959,Fresno ,67.5,9.2,4.5,1.2,16.4,1.3
6099000304,62.64,97.41,95-100% (highest scores),5003,Stanislaus ,72.8,22.6,1.2,0.7,0.8,1.8
6037122000,62.6,97.4,95-100% (highest scores),5446,Los Angeles,36.5,41.5,1.2,0.4,18.2,2.3
6037534101,62.48,97.39,95-100% (highest scores),2295,Los Angeles,95.7,2.2,0.2,0.4,0.8,0.6
6077003802,62.45,97.38,95-100% (highest scores),6519,San Joaquin,39.2,14.2,18,0.2,23.8,4.5
6037602801,62.42,97.36,95-100% (highest scores),3819,Los Angeles,62.2,1.1,34.1,0.1,0.7,1.7
6099002501,62.39,97.35,95-100% (highest scores),7036,Stanislaus ,68.6,18.7,2.8,0.3,8.2,1.4
6077003900,62.38,97.34,95-100% (highest scores),1749,San Joaquin,72.6,25.7,0.3,0.3,0.6,0.5
6019001410,62.37,97.33,95-100% (highest scores),9109,Fresno ,51.8,12.5,5.2,0.4,28.2,1.9
6067000700,62.37,97.31,95-100% (highest scores),2806,Sacramento ,21.6,33.2,24.5,1.6,13.7,5.4
6071002110,62.37,97.3,95-100% (highest scores),7020,San Bernardino,39.8,30.1,15.2,0.2,11.2,3.4
6037532303,62.34,97.29,95-100% (highest scores),4464,Los Angeles,94.5,2.7,0.3,0.2,1.8,0.4
6037123010,62.33,97.28,95-100% (highest scores),4580,Los Angeles,90.4,5.2,0.9,0.2,2.2,1
6037296210,62.31,97.26,95-100% (highest scores),3019,Los Angeles,83.2,6.3,7.1,0.3,1.4,1.7
6037124103,62.29,97.25,95-100% (highest scores),2030,Los Angeles,75,18.3,1.8,0.1,3.6,1.2
6071005400,62.28,97.24,95-100% (highest scores),6590,San Bernardino,66.3,12.4,17,0.5,1.6,2.2
6037104703,62.25,97.23,95-100% (highest scores),2397,Los Angeles,94.5,2.9,1.8,0,0.3,0.6
6037239310,62.24,97.21,95-100% (highest scores),3996,Los Angeles,80.5,0.6,17.4,0.3,0.3,1
6037575802,62.21,97.2,95-100% (highest scores),5167,Los Angeles,76.6,8.5,10.1,0.4,3.2,1.3
6037541002,62.2,97.19,95-100% (highest scores),3209,Los Angeles,32.2,12.9,49.1,0.3,2.6,2.9
6037229300,62.2,97.17,95-100% (highest scores),5498,Los Angeles,87.7,1,10.6,0,0.2,0.4
6037602600,62.19,97.16,95-100% (highest scores),7910,Los Angeles,16.7,3.1,74.3,0.2,3.6,2.2
6037570402,62.14,97.15,95-100% (highest scores),3496,Los Angeles,44.7,6.8,37.8,0.2,8.1,2.4
6037224010,62.14,97.14,95-100% (highest scores),2433,Los Angeles,71.3,7.7,14.1,0.4,5.4,1.1
6071001400,62.13,97.12,95-100% (highest scores),2923,San Bernardino,63.5,22.9,7.1,0.1,4.8,1.6
6031001100,62.11,97.11,95-100% (highest scores),6613,Kings ,72.8,13.2,9.2,0.8,2.1,2
6037294620,62.11,97.1,95-100% (highest scores),4219,Los Angeles,95.5,1.5,1.7,0,0.9,0.4
6037294900,62.08,97.09,95-100% (highest scores),3265,Los Angeles,88.6,3.6,4.6,0.2,2.5,0.6
6071001501,62.04,97.07,95-100% (highest scores),4052,San Bernardino,89.3,7.8,1,0,1,0.9
6037294830,61.94,97.06,95-100% (highest scores),3707,Los Angeles,90.1,3.1,3.9,0.4,1.3,1.3
6099001700,61.93,97.05,95-100% (highest scores),2589,Stanislaus ,65,15.9,6.2,0.9,10,2
6099001601,61.91,97.04,95-100% (highest scores),4803,Stanislaus ,70.5,12.9,4,0.2,10.3,2
6071005800,61.9,97.02,95-100% (highest scores),3981,San Bernardino,67.1,7.1,20.3,0.6,2.8,2.1
6037541100,61.88,97.01,95-100% (highest scores),3321,Los Angeles,49.8,0.8,47.9,0.2,0.5,0.8
6037533806,61.85,97,95-100% (highest scores),4165,Los Angeles,96,2.9,0.5,0.3,0,0.2
6037542402,61.84,96.99,95-100% (highest scores),3152,Los Angeles,55.4,1.5,39.6,0,2,1.5
6077002701,61.84,96.97,95-100% (highest scores),6409,San Joaquin,66.8,25,1.8,0.5,3.5,2.4
6037208000,61.81,96.96,95-100% (highest scores),6893,Los Angeles,71.3,7.5,4.6,0.1,15.2,1.3
6037229100,61.66,96.95,95-100% (highest scores),4557,Los Angeles,89.8,0.6,9.2,0,0,0.5
6037301602,61.64,96.94,95-100% (highest scores),3908,Los Angeles,42.6,38.1,2.2,0.1,13.9,3
6037533901,61.59,96.92,95-100% (highest scores),6065,Los Angeles,96.4,2.2,0.3,0.2,0.5,0.4
6001409000,61.56,96.91,95-100% (highest scores),3552,Alameda ,48.8,1.7,43.3,0.1,4.3,1.8
6037541400,61.5,96.9,95-100% (highest scores),7312,Los Angeles,79.6,0.8,18.6,0.1,0.4,0.5
6037534102,61.47,96.88,95-100% (highest scores),6263,Los Angeles,96.7,1.9,0.3,0.1,0.7,0.3
